ID: 2, Timestamp: 1.532008, Drone Position: (-348.86, 45.00, -107.38), Speed: 7.760042, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.48, 267.49, 1.46), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.54658, Drone Position: (-348.74, 45.00, -107.38), Speed: 7.8329, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.62, 267.36, 1.54), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.56008, Drone Position: (-348.64, 45.00, -107.38), Speed: 7.900399, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.78, 267.23, 1.71), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.574077, Drone Position: (-348.52, 45.00, -107.38), Speed: 7.970387, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (353.95, 267.11, 1.89), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.588163, Drone Position: (-348.41, 45.00, -107.38), Speed: 8.040816, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.09, 266.97, 2.02), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.602091, Drone Position: (-348.30, 45.00, -107.38), Speed: 8.110453, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.19, 266.83, 2.16), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.616004, Drone Position: (-348.18, 45.00, -107.38), Speed: 8.18002, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.41, 266.73, 2.19), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.6299, Drone Position: (-348.07, 45.00, -107.38), Speed: 8.249499, Camera Position: (-103.26, 1.76, -107.32), Camera Rotation: (354.74, 266.70, 2.10), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.643761, Drone Position: (-347.95, 45.00, -107.38), Speed: 8.318805, Camera Position: (-103.26, 1.75, -107.32), Camera Rotation: (355.05, 266.69, 1.96), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
ID: 2, Timestamp: 1.657757, Drone Position: (-347.84, 45.00, -107.38), Speed: 8.388783, Camera Position: (-103.26, 1.75, -107.32), Camera Rotation: (355.33, 266.74, 1.76), Slider Value: 52, Phase: MoveToInitial, Scenario: 2
