Timestamp: 214.1383, Position: (-337.61,45, -107.38), Speed: 11.17049, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.1518, Position: (-337.46,45, -107.38), Speed: 11.16788, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.1661, Position: (-337.30,45, -107.38), Speed: 11.1713, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.1796, Position: (-337.15,45, -107.38), Speed: 11.16753, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.1939, Position: (-336.99,45, -107.38), Speed: 11.17167, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2082, Position: (-336.83,45, -107.38), Speed: 11.17108, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2223, Position: (-336.67,45, -107.38), Speed: 11.17063, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2361, Position: (-336.52,45, -107.38), Speed: 11.16929, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2549, Position: (-336.31,45, -107.38), Speed: 11.19355, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2767, Position: (-336.07,45, -107.38), Speed: 11.16695, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.2906, Position: (-335.91,45, -107.38), Speed: 11.16962, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.3048, Position: (-335.76,45, -107.38), Speed: 11.17101, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.3187, Position: (-335.60,45, -107.38), Speed: 11.1696, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.3328, Position: (-335.45,45, -107.38), Speed: 11.17043, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.3467, Position: (-335.29,45, -107.38), Speed: 11.16923, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.361, Position: (-335.13,45, -107.38), Speed: 11.17171, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.375, Position: (-334.98,45, -107.38), Speed: 11.16968, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.3891, Position: (-334.82,45, -107.38), Speed: 11.17073, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4032, Position: (-334.67,45, -107.38), Speed: 11.17055, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4172, Position: (-334.51,45, -107.38), Speed: 11.16986, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4305, Position: (-334.36,45, -107.38), Speed: 11.16655, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4447, Position: (-334.20,45, -107.38), Speed: 11.17122, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4622, Position: (-334.01,45, -107.38), Speed: 11.18762, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4728, Position: (-333.89,45, -107.38), Speed: 11.15263, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.4859, Position: (-333.75,45, -107.38), Speed: 11.16571, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5, Position: (-333.59,45, -107.38), Speed: 11.17039, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5137, Position: (-333.44,45, -107.38), Speed: 11.16836, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.528, Position: (-333.28,45, -107.38), Speed: 11.17171, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.542, Position: (-333.12,45, -107.38), Speed: 11.16985, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5558, Position: (-332.97,45, -107.38), Speed: 11.16924, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5704, Position: (-332.81,45, -107.38), Speed: 11.17276, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5841, Position: (-332.66,45, -107.38), Speed: 11.16838, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.5973, Position: (-332.51,45, -107.38), Speed: 11.16642, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
Timestamp: 214.6117, Position: (-332.35,45, -107.38), Speed: 11.17201, Slider Value: 1, Phase: MoveToInitial, Scenario: 2
