Timestamp: 1.5, Position: (-343.37, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.516667, Position: (-343.18, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.533333, Position: (-343.00, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.55, Position: (-342.81, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.566667, Position: (-342.63, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.583333, Position: (-342.44, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.6, Position: (-342.26, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.616667, Position: (-342.07, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.633333, Position: (-341.89, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.65, Position: (-341.70, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.666667, Position: (-341.52, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.683333, Position: (-341.33, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.7, Position: (-341.15, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.716667, Position: (-340.96, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.733333, Position: (-340.78, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.75, Position: (-340.59, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.766667, Position: (-340.41, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.783333, Position: (-340.22, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.8, Position: (-340.04, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.816667, Position: (-339.85, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.833333, Position: (-339.67, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.85, Position: (-339.48, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.866667, Position: (-339.30, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.883333, Position: (-339.11, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.9, Position: (-338.93, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.916667, Position: (-338.74, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.933333, Position: (-338.56, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.95, Position: (-338.37, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.966667, Position: (-338.19, 57.00, -107.38), Speed: 11.09978, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 1.983333, Position: (-338.00, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2, Position: (-337.82, 57.00, -107.38), Speed: 11.09994, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.016667, Position: (-337.63, 57.00, -107.38), Speed: 11.09971, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.033334, Position: (-337.45, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.05, Position: (-337.26, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.066667, Position: (-337.08, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.083333, Position: (-336.89, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.1, Position: (-336.71, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.116667, Position: (-336.52, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.133333, Position: (-336.34, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.15, Position: (-336.15, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.166667, Position: (-335.97, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.183333, Position: (-335.78, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.2, Position: (-335.60, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.216667, Position: (-335.41, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.233333, Position: (-335.23, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.25, Position: (-335.04, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.266667, Position: (-334.86, 57.00, -107.38), Speed: 11.09971, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.283334, Position: (-334.67, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.3, Position: (-334.49, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.316667, Position: (-334.30, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.333333, Position: (-334.12, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.35, Position: (-333.93, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.366667, Position: (-333.75, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.383333, Position: (-333.56, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.4, Position: (-333.38, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.416667, Position: (-333.19, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.433333, Position: (-333.01, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.45, Position: (-332.82, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.466667, Position: (-332.64, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.483333, Position: (-332.45, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.5, Position: (-332.27, 57.00, -107.38), Speed: 11.09971, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.516667, Position: (-332.08, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.533334, Position: (-331.90, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.55, Position: (-331.71, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.566667, Position: (-331.53, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.583333, Position: (-331.34, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.6, Position: (-331.16, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.616667, Position: (-330.97, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.633333, Position: (-330.79, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.65, Position: (-330.60, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.666667, Position: (-330.42, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.683333, Position: (-330.23, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.7, Position: (-330.05, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.716667, Position: (-329.86, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.733334, Position: (-329.68, 57.00, -107.38), Speed: 11.09971, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.75, Position: (-329.49, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.766667, Position: (-329.31, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.783334, Position: (-329.12, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.8, Position: (-328.94, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.816667, Position: (-328.75, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.833333, Position: (-328.57, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.85, Position: (-328.38, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.866667, Position: (-328.20, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.883333, Position: (-328.01, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.9, Position: (-327.83, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
Timestamp: 2.916667, Position: (-327.64, 57.00, -107.38), Speed: 11.09986, Slider Value: 0, Phase: MoveToInitialPosition, Scenario: 1
