Timestamp: 2.501174, Position: (-339.94, 45.00, -107.38), Speed: 11.17128, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.516829, Position: (-339.77, 45.00, -107.38), Speed: 11.17827, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.529125, Position: (-339.63, 45.00, -107.38), Speed: 11.16148, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.543206, Position: (-339.48, 45.00, -107.38), Speed: 11.17041, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.557193, Position: (-339.32, 45.00, -107.38), Speed: 11.16993, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.570648, Position: (-339.17, 45.00, -107.38), Speed: 11.16728, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.584799, Position: (-339.02, 45.00, -107.38), Speed: 11.17075, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.598954, Position: (-338.86, 45.00, -107.38), Speed: 11.17078, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.613041, Position: (-338.70, 45.00, -107.38), Speed: 11.17043, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.627306, Position: (-338.54, 45.00, -107.38), Speed: 11.17132, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.645027, Position: (-338.35, 45.00, -107.38), Speed: 11.18861, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.668158, Position: (-338.09, 45.00, -107.38), Speed: 11.1685, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.682286, Position: (-337.93, 45.00, -107.38), Speed: 11.17064, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.696125, Position: (-337.78, 45.00, -107.38), Speed: 11.1692, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.710302, Position: (-337.62, 45.00, -107.38), Speed: 11.17089, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.724172, Position: (-337.47, 45.00, -107.38), Speed: 11.16935, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.737977, Position: (-337.31, 45.00, -107.38), Speed: 11.16903, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.751884, Position: (-337.16, 45.00, -107.38), Speed: 11.16954, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.766315, Position: (-337.00, 45.00, -107.38), Speed: 11.17216, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.780344, Position: (-336.84, 45.00, -107.38), Speed: 11.17014, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.79407, Position: (-336.69, 45.00, -107.38), Speed: 11.16863, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.808084, Position: (-336.54, 45.00, -107.38), Speed: 11.17007, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.822144, Position: (-336.38, 45.00, -107.38), Speed: 11.1703, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.835794, Position: (-336.23, 45.00, -107.38), Speed: 11.16825, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.854152, Position: (-336.03, 45.00, -107.38), Speed: 11.19179, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.877413, Position: (-335.77, 45.00, -107.38), Speed: 11.16849, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.891352, Position: (-335.61, 45.00, -107.38), Speed: 11.16969, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.904883, Position: (-335.46, 45.00, -107.38), Speed: 11.16766, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.919294, Position: (-335.30, 45.00, -107.38), Speed: 11.17206, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.933042, Position: (-335.15, 45.00, -107.38), Speed: 11.16874, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.947338, Position: (-334.99, 45.00, -107.38), Speed: 11.17148, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.961344, Position: (-334.84, 45.00, -107.38), Speed: 11.17003, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.975623, Position: (-334.68, 45.00, -107.38), Speed: 11.1714, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 2.989155, Position: (-334.53, 45.00, -107.38), Speed: 11.16766, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.003045, Position: (-334.37, 45.00, -107.38), Speed: 11.16945, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.017102, Position: (-334.22, 45.00, -107.38), Speed: 11.17029, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.030985, Position: (-334.06, 45.00, -107.38), Speed: 11.16941, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.045055, Position: (-333.91, 45.00, -107.38), Speed: 11.17035, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.062708, Position: (-333.71, 45.00, -107.38), Speed: 11.18827, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.072978, Position: (-333.60, 45.00, -107.38), Speed: 11.15135, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
Timestamp: 3.08602, Position: (-333.45, 45.00, -107.38), Speed: 11.16521, Slider Value: 21, Phase: MoveToInitial, Scenario: 1
